pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
6769949,1,0,1,1,0,9,16,0,0,1,4,4,4,4,0,0,0,0,4,4,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,0,10,0,1,1,1,1,3,1,1,3
8125758,2,0,2,1,0,10,15,0,0,1,5,5,8,8,0,0,0,0,9,0,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,1,1,2,1,2,2,1,4,4,1,1,9,1,1,8,0,8,0,1,1,2,1,1,3
4418596,2,0,6,1,0,6,18,0,0,1,3,3,3,3,0,0,0,0,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,5,4,3,0,1,2,1,1,3,1,1,3
9486770,1,0,1,1,0,5,5,0,0,1,5,5,5,5,0,0,0,0,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,0,0,3,0,3,1,3,3,2,1,2,1
4744265,1,0,5,1,0,8,23,0,0,1,4,4,4,4,0,0,0,0,4,4,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,28,0,1,1,0,1,4,2,2,1
6569311,1,0,1,1,0,3,3,0,0,1,5,5,6,6,0,0,0,0,8,6,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,0,15,0,0,2,0,3,1,1,1,3
3386596,1,0,1,1,0,7,10,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,1,10,0,2,0,1,1,2,1,1,3
2819976,2,0,2,1,0,16,14,2,0,1,3,3,3,3,0,0,0,0,4,4,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,1,10,0,0,3,0,1,4,1,1,1
6949181,1,0,2,1,0,26,26,0,0,1,12,12,16,16,0,0,0,0,12,12,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,0,25,0,0,1,3,7,3,1,2,3
7103731,2,0,4,1,0,3,12,0,0,1,10,10,5,5,2,2,2,2,5,5,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,20,0,0,1,0,1,2,1,2,3
2195956,1,0,3,1,0,11,16,0,0,1,0,0,12,12,0,0,4,4,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,1,1,1,4,4,4,4,4,1,2,2,2,3,30,0,4,2,4,2,4,1,1,1
8853191,2,0,2,1,0,8,26,0,0,1,8,8,8,8,0,0,0,0,8,8,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,0,40,0,1,2,0,1,3,1,2,3
2268704,2,0,3,1,0,8,47,0,0,1,40,40,40,40,40,40,40,40,46,27,1,2,2,2,2,2,1,2,2,2,2,2,1,3,1,1,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,38,0,0,1,10,1,2,1,1,2
7391388,2,0,1,1,0,4,10,0,0,1,1,1,1,1,0,0,0,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,3
2023396,3,0,1,1,0,1,8,0,0,1,4,4,3,3,0,0,0,0,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2,3
5423585,1,0,10,1,0,10,10,0,0,1,10,10,10,10,0,0,0,0,15,15,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,2,2,2,2,0,0,0,0,1,1,9,2,0,15,0,5,1,0,1,5,1,1,1
5299949,1,0,2,1,0,11,63,0,0,1,25,25,25,25,0,0,0,0,25,25,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,15,0,5,0,25,1,25,25,3,1,2,1
4132370,2,0,1,1,0,3,14,0,0,1,3,3,3,3,0,0,0,0,3,3,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,0,5,0,0,1,4,0,2,1,2,3
5478431,2,0,2,1,0,6,16,0,0,1,10,10,10,10,0,0,0,0,10,10,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,1,20,0,8,4,1,1,1,1,2,1
2621444,3,0,1,1,0,1,5,0,0,2,1,1,1,1,0,0,0,0,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3
6410271,1,0,2,1,0,6,8,0,0,1,2,2,2,2,0,0,0,0,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,8,0,0,0,0,2,2,2,2,3
6928362,2,0,1,1,0,9,22,0,0,1,20,20,22,22,4,4,4,4,24,0,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,11,1,40,150,40,0,18,0,7,1,2,1
7030447,3,0,1,1,0,0,0,2,0,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,9,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3
5772006,1,0,1,1,0,5,10,0,0,1,5,5,15,15,1,1,1,1,7,15,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,4,4,4,4,4,4,4,4,1,1,9,6,2,30,0,0,0,0,1,1,1,2,3
6688770,3,0,1,1,0,4,2,0,0,2,1,1,1,1,0,0,0,0,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,1,0,1,0,0,0,0,1,0,2,2,3
9190002,1,0,1,1,0,12,34,0,0,1,20,20,20,20,0,0,0,0,20,20,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,1,20,0,14,1,20,30,2,1,2,1
7404081,1,0,4,1,0,9,20,0,0,1,24,24,26,26,0,0,0,0,18,10,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,4,0,20,0,0,1,8,1,3,1,2,2
9441536,1,0,1,1,0,14,14,0,0,1,10,10,10,10,0,0,0,0,10,0,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,9,1,2,9,1,1,1,1,1,1,1,1,2,1,1,9,5,0,20,0,6,2,10,10,2,1,1,2
6539066,2,0,8,6,0,8,8,0,0,2,4,4,4,4,4,4,4,4,5,5,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,2,2,9,1,4,4,4,4,4,4,4,4,1,2,9,1,0,10,0,0,0,0,1,2,1,2,3
5362362,2,0,2,1,0,10,21,0,0,1,10,10,10,10,0,0,0,0,5,0,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,5,4,25,0,1,0,2,2,3,1,2,3
5953229,3,0,1,1,0,0,1,0,2,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,1
7785551,3,0,1,7,0,7,3,0,0,1,2,2,2,2,0,0,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,11,11,0,0,1,1,2,1,1,2,3
6144839,1,0,13,1,0,8,8,0,0,1,4,4,4,4,0,0,0,0,8,8,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,1,1,1,4,4,4,4,4,1,1,9,2,0,40,0,0,1,2,2,2,1,2,3
3145142,4,0,1,5,0,0,3,0,0,2,1,1,1,1,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,3
9337944,1,0,1,1,0,11,20,0,0,1,6,6,6,6,0,0,0,0,6,6,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,15,0,1,1,1,1,1,1,1,3
1558160,3,0,0,1,0,0,8,0,0,2,3,1,2,1,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,3
2600041,2,0,1,1,0,2,5,5,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,2,9,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,2,2,3
8767580,3,0,2,1,0,3,4,2,0,1,3,3,4,4,0,0,0,0,0,0,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,0,0,0,1,1,1,2,2
3329774,2,0,1,1,0,8,24,0,0,1,8,8,8,8,0,0,0,0,6,6,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,3,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,3,0,12,0,0,0,0,1,1,1,2,3
8374777,1,0,2,1,0,15,77,0,0,1,15,15,16,16,15,15,16,16,30,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,1,60,0,10,1,1,1,5,1,2,2
9520743,1,0,1,1,0,14,15,0,0,1,15,13,10,10,0,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,25,0,0,1,0,1,2,1,1,3
9654556,1,0,1,1,0,4,12,0,0,2,2,2,2,2,0,0,0,0,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,0,4,0,1,0,0,0,1,1,1,3
6283574,1,0,1,1,0,8,9,0,0,1,0,0,2,2,0,0,1,1,0,0,1,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,9,2,0,40,0,0,1,0,8,3,1,2,1
2791799,1,0,4,1,0,16,12,0,0,1,2,2,2,2,0,0,0,0,4,4,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,1,0,10,0,0,0,1,2,1,1,2,3
5408164,1,0,3,1,0,22,10,0,0,1,10,10,8,8,2,2,2,2,16,10,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,2,50,500,5,1,1,1,2,1,1,1
7621553,1,0,1,1,0,21,21,0,0,1,1,1,1,1,9,9,9,9,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,9,2,1,25,0,15,1,5,5,2,1,1,1
6157090,2,0,1,6,0,15,20,0,0,1,12,12,6,6,15,15,8,8,20,10,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,10,100,25,20,25,1,15,5,5,1,1,1
9545356,3,0,1,1,0,2,2,0,0,1,2,2,1,1,0,0,0,0,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1,1,2,2,3
6989049,1,0,4,1,0,8,6,2,0,1,5,5,5,5,0,0,0,0,5,5,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,25,0,0,0,0,1,1,1,2,3
2523155,2,0,2,1,0,10,20,0,0,1,8,8,8,8,2,2,2,2,5,5,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,5,5,25,0,4,2,5,1,3,1,1,3
7308390,1,0,1,1,0,8,17,0,0,1,4,4,8,8,0,0,0,0,4,8,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,2,0,15,0,0,1,0,2,3,1,1,1
3752339,1,0,1,1,0,8,15,0,0,1,6,6,6,6,2,2,2,2,6,6,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,9,1,0,2,0,15,1,12,1,2,1,2,3
