pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,Cluster,Deficit_Tier
6594356,3,12,5,2,33,10,18,0,0,1,4,4,4,4,1,1,0,0,4,4,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,2,1,1,1,1,4,4,4,1,1,1,0,0,20,0,0,1,0,1,1,1,1,2,1,Moderate Deficit
1819622,1,3,1,1,41,11,35,0,0,1,20,20,50,50,1,1,1,1,10,0,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,2,0,45,500,1,1,9,10,3,1,1,2,1,Moderate Deficit
6548178,1,1,1,3,6,6,6,0,0,1,3,3,5,5,1,1,1,1,3,5,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,2,2,Well Equipped
5957982,2,1,1,1,38,7,16,0,0,1,6,6,7,7,2,1,2,1,14,14,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,2,9,1,0,12,0,2,0,0,2,0,1,1,3,1,Moderate Deficit
3772305,1,1,1,1,14,2,14,0,0,1,3,3,3,3,1,1,1,1,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,4,0,0,0,0,0,0,1,2,2,2,Well Equipped
5879590,1,1,0,8,11,0,5,0,0,2,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,2,2,Well Equipped
4036238,1,1,1,1,8,7,8,0,0,1,1,1,1,1,1,1,1,1,6,5,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,0,1,0,1,0,0,1,1,1,2,3,2,Well Equipped
9042273,3,12,5,1,22,2,6,2,2,1,3,3,5,5,0,0,1,1,12,14,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,5,7,19,0,1,1,0,2,3,1,2,2,2,Well Equipped
7545290,3,5,1,1,13,3,12,1,0,1,5,5,5,5,0,0,0,0,10,10,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1,2,5,10,0,4,0,0,1,2,1,1,2,2,Well Equipped
5056137,2,4,4,1,5,1,0,2,3,2,1,1,1,1,0,0,0,0,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,0,0,0,0,1,0,0,1,2,2,2,Well Equipped
4497056,1,3,3,1,46,4,46,0,0,1,30,27,26,24,12,8,11,8,54,48,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,9,2,2,9,1,1,1,1,1,1,4,4,4,1,2,9,0,0,55,0,0,0,0,1,3,1,1,2,1,Moderate Deficit
1340016,3,7,2,1,6,2,4,2,0,2,1,1,1,1,0,0,0,0,4,4,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,2,3,0,0,0,0,1,1,0,2,2,2,2,Well Equipped
2045915,3,5,2,1,10,1,3,0,0,1,1,0,1,1,1,1,0,0,10,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,1,0,1,0,1,1,1,1,2,2,0,Server Deficit
9584760,3,4,1,1,5,0,2,0,0,2,1,1,1,1,0,0,0,0,4,7,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,1,1,0,2,2,2,2,Well Equipped
9049401,3,4,1,1,5,0,1,0,0,2,1,1,1,1,0,0,0,0,6,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,0,0,0,2,2,2,2,Well Equipped
7065788,2,1,1,2,5,3,5,0,0,1,2,1,2,1,0,0,0,0,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,2,Well Equipped
