pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn,Cluster,Deficit_Tier
3434803,7,1,6,0,2,4,0,1,7,0,0,1,3,3,2,3,3,1,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,1,Moderate Deficit
3444650,8,7,1,0,0,0,2,6,8,0,0,2,3,3,2,3,3,2,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0,0,1,1,Moderate Deficit
3447040,2,2,0,0,0,1,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3456454,3,2,1,0,2,1,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,Server Deficit
3457170,9,8,1,0,1,1,4,3,9,0,0,2,5,2,2,3,4,2,0,0,0,0,0,0,4,0,0,5,0,1,0,1,0,2,0,0,1,1,Moderate Deficit
3458202,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3466407,4,4,0,0,1,1,1,1,4,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3468666,10,9,1,0,2,2,3,3,10,0,0,0,4,6,5,2,0,0,2,1,3,2,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,2,Well Equipped
3469075,6,4,2,0,0,0,0,6,6,0,0,0,4,2,2,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,Moderate Deficit
3470847,8,8,0,0,1,0,3,4,8,0,0,1,4,3,3,2,2,2,0,0,1,1,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3471178,8,8,0,0,1,1,1,5,8,0,0,2,3,3,4,3,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,1,Moderate Deficit
3472072,4,2,2,0,3,0,0,1,0,4,0,1,1,2,2,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,Server Deficit
3475695,9,2,7,0,7,0,0,2,9,0,0,1,8,0,0,0,2,7,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,Moderate Deficit
3481309,2,1,1,0,0,0,1,1,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Server Deficit
3484780,14,6,8,0,3,1,1,9,14,0,0,3,1,10,2,4,0,2,0,5,2,1,0,0,0,1,0,10,0,1,0,0,1,1,0,0,0,2,Well Equipped
